1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2018:Q3,3711484,112503,1164809,331270,16817,126117,79811,22143,86382,432947,0,221499,0,1448456,1164251,214246,69959,4109480,3488569,1485701,175898,876418,115931,760487,9884,33899,3750,903019,517380,619365,-233726,620911,120310,124667,78728,297206,0
2018:Q4,3811421,126243,1315208,478038,11448,250357,117181,20738,78314,421602,0,147686,0,1322644,1055252,181978,85414,4184976,3588665,1698401,184003,882503,124309,758194,8444,16787,3785,794742,452932,584500,-242690,596311,103280,94712,78230,320089,0
2019:Q1,3841980,108791,1321178,471011,13916,235078,127725,16443,77849,391989,0,159000,0,1390011,1120855,201817,67339,4226772,3620279,1691973,181488,872086,121783,750303,10141,14911,4446,845234,482931,624626,-262323,606493,109677,133458,78405,284953,0
2019:Q2,3960068,118901,1360866,484500,11972,255805,129930,18355,68438,406307,0,180000,0,1409494,1131685,219465,58344,4368666,3730722,1781678,205929,881013,123370,757643,11411,15024,5169,830498,477779,629669,-276950,637944,115183,156757,78396,287608,0
2019:Q3,4057843,119011,1470077,486508,13773,215613,152684,20365,84073,421034,0,175000,0,1386213,1123785,227736,34692,4490123,3822712,1870520,183785,914591,125741,788850,12668,15484,4897,820767,473979,613404,-266616,667411,117395,177868,80594,291554,0
2019:Q4,3944754,125234,1400064,449257,8544,214060,139526,16429,70698,431148,0,167000,0,1372051,1104256,230643,37152,4393534,3704490,1750000,173916,905987,122043,783944,14024,15777,3254,841532,473517,613138,-245123,689044,128286,216977,83475,260306,0
2020:Q1,4216861,161986,1482987,506052,20710,232702,170142,13687,68811,568906,0,144684,0,1352246,1038493,220544,93209,4625987,3964021,1815920,256907,1113986,184614,929372,11518,20135,4585,740970,466819,661730,-387579,661966,93783,146531,84809,336843,0
2020:Q2,3999172,138968,1282187,499141,13009,268351,134211,8680,74890,493023,0,180382,0,1405471,1121747,231683,52041,4448695,3740655,1680410,179726,1033674,124450,909224,13398,17807,6709,808931,492512,628641,-312222,708040,127368,210838,88453,281381,0
2020:Q3,4024560,133937,1279046,432108,11027,213382,107625,10426,89648,560277,0,205387,0,1413805,1115164,238108,60533,4493611,3767466,1713210,165438,995592,118748,876844,14180,16729,6403,855914,517163,632801,-294050,726145,129902,243379,87085,265779,0
2020:Q4,4198805,138428,1322112,389126,8211,215152,77803,6780,81180,664277,0,214271,0,1470591,1152077,250967,67547,4703510,3930193,1774230,183885,1037010,132254,904756,14315,18542,6278,895933,522686,662841,-289594,773317,139731,295125,90334,248127,0
2021:Q1,4245145,136850,1238027,187190,9206,95505,4849,8849,68781,779482,0,265933,0,1637663,1297311,258283,82069,4762392,3964662,1573634,196343,1064100,139412,924688,14521,19683,7067,1089314,683721,649722,-244129,797730,139399,314818,93779,249734,0
2021:Q2,4289165,132606,1133415,216287,11670,113029,12440,10709,68439,821352,0,259107,0,1726398,1380527,263569,82302,4843298,4001243,1550533,204512,1097246,151993,945253,14217,15913,7738,1111084,694665,685529,-269110,842055,149503,358427,97975,236150,0
2021:Q3,4392226,137145,1211237,204378,13999,93490,17628,12057,67204,818668,0,231950,0,1788848,1468597,287728,32523,4978957,4098426,1554707,214638,1160614,165349,995265,15024,17564,8833,1127046,739693,694004,-306651,880531,175936,371898,99623,233074,0
2021:Q4,4380278,140673,1255380,196572,16319,98990,53758,12675,14830,840033,0,233886,0,1713734,1342692,290464,80578,4974444,4083458,1570366,217713,1182095,171295,1010800,15560,22437,6773,1068514,656935,711947,-300368,890986,166491,422622,106104,195769,0
2022:Q1,4572680,146641,1324401,139016,22237,83399,21092,11045,1243,855467,0,236914,0,1870241,1497043,323816,49382,5132071,4294351,1523557,260836,1311746,168311,1143435,15197,21930,6401,1154684,728767,756708,-330791,837720,136193,388608,94934,217985,0
2022:Q2,4432482,150050,1345487,175467,15634,89536,58112,10143,2042,821227,0,177578,0,1762673,1423779,353305,-14411,4961930,4156371,1533638,249244,1264590,177225,1087365,14210,19262,6946,1068481,660919,710106,-302544,805559,110986,304418,93891,296264,0
2022:Q3,4424155,153198,1330517,246381,23408,126978,68185,14787,13023,806810,0,192184,0,1695065,1336504,389267,-30706,4970410,4143807,1613442,223595,1202789,177763,1025026,13931,19586,6717,1063747,643153,685551,-264957,826603,105282,268612,97500,355209,0
2022:Q4,4373062,148840,1461523,311413,19008,170650,108606,12021,1128,661462,0,170265,0,1619559,1296545,396803,-73789,4931573,4082941,1626107,236100,1138699,180583,958116,14541,20028,3878,1043588,624178,804401,-384991,848632,115458,296900,109761,326513,0
2023:Q1,4803777,132702,1660629,420520,28288,265859,109964,10956,5453,643656,0,235261,0,1711009,1369527,397414,-55932,5364603,4501526,2018547,229311,1102615,176976,925639,14600,19109,4383,1112961,670067,819965,-377071,863077,125355,325998,117800,293924,0
2023:Q2,4809159,136767,1637888,404978,28983,257941,86527,15530,15997,638445,0,276032,0,1715049,1363897,405663,-54511,5390208,4504411,2054434,211194,1088074,162796,925278,15250,22799,5023,1107637,668026,815441,-375830,885797,121170,371990,120083,272554,0
2023:Q3,4757062,130134,1604169,435421,24731,248129,120577,15048,26936,635416,0,251304,0,1700618,1330100,400732,-30214,5334067,4449712,2067283,221033,1036762,172399,864363,15595,21440,5279,1082320,644662,834005,-396347,884355,119108,358044,120972,286231,0
2023:Q4,4875773,128330,1625768,447733,19644,269210,121397,13486,23996,651439,0,283438,0,1739065,1360511,400426,-21872,5487922,4568161,2110016,236247,1062198,179535,882663,16274,18456,3984,1120986,684259,830350,-393623,919761,130771,424964,123829,240197,0
2024:Q1,5157921,127900,1660363,541536,24993,304324,158991,15407,37821,687587,0,317109,0,1823426,1475747,429062,-81383,5819491,4842910,2280749,258209,1064930,178991,885939,19234,21266,5001,1193521,739912,840497,-386888,976581,146538,480822,128628,220593,0
