1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q2,-9968,-19232,316,-18916,568,568,32,32,800,16,464,0,320,0,0,0,0,0,8244,0,0,-696,7548,0,0,0,0,0,0,0,0,0
1978:Q3,-7097,-13241,580,-12661,768,768,24,24,828,20,380,0,428,0,0,0,0,0,3472,0,0,472,3944,0,0,0,0,0,0,0,0,0
1978:Q4,-4797,-14073,-436,-14509,964,964,64,64,1148,24,344,0,780,0,0,0,0,0,6368,0,0,1168,7536,0,0,0,0,0,0,0,0,0
1979:Q1,-2684,-8804,368,-8436,652,652,140,140,1672,24,248,0,1400,0,0,0,0,0,2132,0,0,1156,3288,0,0,0,0,0,0,0,0,0
1979:Q2,-36570,-42154,1000,-41154,584,584,52,52,1040,44,488,0,508,0,0,0,0,0,1520,0,0,1388,2908,0,0,0,0,0,0,0,0,0
1979:Q3,-20566,-30958,720,-30238,532,532,36,36,1060,24,356,0,680,0,0,0,0,0,7736,0,0,308,8044,0,0,0,0,0,0,0,0,0
1979:Q4,-22558,-36758,796,-35962,440,440,40,40,2432,40,864,0,1528,0,0,0,0,0,11080,0,0,-588,10492,0,0,0,0,0,0,0,0,0
1980:Q1,-52942,-53394,-3968,-57362,864,864,56,56,-664,64,560,0,-1288,0,0,0,0,0,2496,0,0,1668,4164,0,0,0,0,0,0,0,0,0
1980:Q2,-5829,-55177,1768,-53409,684,684,40,40,1128,36,500,0,592,0,0,0,0,0,8452,0,0,576,9028,2000,34700,36700,0,0,0,0,0,0
1980:Q3,-41049,-52673,-56,-52729,1148,1148,60,60,624,20,364,0,240,0,0,0,0,0,5736,0,0,1236,6972,2156,720,2876,0,0,0,0,0,0
1980:Q4,-16562,-19582,600,-18982,484,484,76,76,1640,56,1084,0,500,0,0,0,0,0,388,0,0,3412,3800,-2684,-896,-3580,0,0,0,0,0,0
1981:Q1,11050,-4062,716,-3346,780,780,96,96,1192,40,400,0,752,0,0,0,0,0,10344,0,0,-4276,6068,2696,3564,6260,0,0,0,0,0,0
