1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q1,101688,37480,46224,17964,2375,13472,2118,19,101688,14857,47129,14151,14470,7800,3281,15,1258,1128,87,4,39,239,209,3,1,2,0,406,249,899,46232
1980:Q2,105242,38824,47794,18606,2472,13941,2194,18,105242,15338,48851,14627,14888,8096,3443,16,1320,1183,92,4,41,251,220,4,1,2,0,426,261,944,47827
1980:Q3,108840,40203,49396,19223,2571,14381,2271,18,108840,15789,50662,15107,15251,8425,3607,17,1382,1240,96,4,43,263,230,4,2,2,0,447,274,989,48863
1980:Q4,112659,41610,51106,19925,2680,14895,2350,18,112659,16210,52564,15590,15784,8740,3771,18,1445,1296,100,4,45,275,240,4,2,2,0,467,286,1034,49764
1981:Q1,116386,43111,52563,20695,2928,15410,2358,16,116386,16601,54549,16077,16164,9050,3946,18,1513,1363,101,4,45,276,243,4,2,4,0,490,332,1067,50612
1981:Q2,120108,44479,54230,21384,3041,15909,2434,16,120108,16963,56473,16553,16667,9330,4123,19,1582,1426,106,4,46,288,254,4,2,4,0,511,347,1114,51424
1981:Q3,123629,45762,55846,22006,3147,16352,2507,15,123629,17298,58329,17017,17100,9577,4309,19,1654,1491,111,4,49,301,265,4,2,4,0,535,362,1164,52455
1981:Q4,127107,46998,57469,22625,3251,16796,2578,16,127107,17605,60117,17472,17591,9820,4502,20,1729,1559,115,5,51,314,277,4,2,4,0,558,378,1216,53369
1982:Q1,130482,47973,58887,23632,3566,17460,2606,-10,130482,17884,61831,17917,18115,10025,4710,22,1810,1639,114,5,53,317,279,5,2,9,0,557,463,1248,52760
1982:Q2,133470,48977,60260,24242,3668,17914,2661,-9,133470,18129,63217,18258,18723,10244,4899,23,1881,1703,119,5,55,330,290,5,2,9,0,579,482,1299,53387
1982:Q3,135687,49715,61290,24692,3748,18240,2704,-9,135687,18341,64269,18491,19093,10416,5078,23,1948,1763,123,5,57,342,301,5,2,10,0,601,500,1348,53986
1982:Q4,137325,50187,62049,25100,3818,18548,2734,-11,137325,18519,64985,18616,19449,10507,5249,24,2011,1820,127,5,59,354,311,5,2,10,0,622,517,1394,54369
1983:Q1,138077,49401,62539,26260,4161,19210,2889,-123,138077,18664,65360,18633,19421,10582,5417,25,2009,1817,125,5,64,354,311,5,2,19,0,673,622,1398,53685
1983:Q2,139770,49773,63294,26826,4243,19670,2914,-123,139770,18857,65876,18687,20133,10632,5585,26,2069,1870,129,5,65,365,322,5,2,19,0,695,642,1442,54427
1983:Q3,141542,50233,64147,27285,4323,20018,2945,-123,141542,19100,66525,18778,20668,10712,5759,26,2130,1925,133,5,68,377,332,6,2,20,0,717,663,1489,55182
1983:Q4,143233,50747,65048,27562,4393,20187,2982,-123,143233,19392,67308,18904,20902,10787,5940,27,2194,1982,137,5,70,389,342,6,2,20,0,740,684,1537,56138
1984:Q1,145562,51039,65622,28979,4866,20978,3135,-78,145562,19733,68222,19066,21524,10885,6132,26,2134,1932,129,5,69,391,344,6,3,29,0,878,784,1539,57448
1984:Q2,147874,51731,66787,29434,4965,21285,3183,-77,147874,20063,69245,19249,21978,11009,6329,27,2197,1987,134,5,71,404,356,6,3,30,0,908,811,1591,58457
